Detector,Dataset,Threshold,FAR,FRR,alpha,beta,FAR-alpha,FRR-beta,K_value
UCF,Combined,0.646,0.397081,0.210027,-0.3002859972253828,-0.3282620496123028,0.6973669972253829,0.5382890496123028,0.3753850181674368
UCF,Combined,0.647,0.397689,0.208507,-0.3002859972253828,-0.3282620496123028,0.6979749972253828,0.5367690496123028,0.37465137591381836
UCF,Combined,0.648,0.398297,0.207368,-0.3002859972253828,-0.3282620496123028,0.6985829972253828,0.5356300496123028,0.3741820454621429
UCF,Combined,0.649,0.398601,0.206988,-0.3002859972253828,-0.3282620496123028,0.6988869972253828,0.5352500496123028,0.3740792999382795
UCF,Combined,0.65,0.399514,0.206608,-0.3002859972253828,-0.3282620496123028,0.6997999972253828,0.5348700496123029,0.3743020592346299
UCF,Combined,0.651,0.400426,0.206608,-0.3002859972253828,-0.3282620496123028,0.7007119972253828,0.5348700496123029,0.37478986071987636
UCF,Combined,0.652,0.401034,0.205089,-0.3002859972253828,-0.3282620496123028,0.7013199972253827,0.5333510496123028,0.3740497566342552
UCF,Combined,0.653,0.401034,0.20433,-0.3002859972253828,-0.3282620496123028,0.7013199972253827,0.5325920496123029,0.37351745475636117
UCF,Combined,0.654,0.401642,0.20395,-0.3002859972253828,-0.3282620496123028,0.7019279972253828,0.5322120496123028,0.3735745380835798
UCF,Combined,0.655,0.40225,0.20319,-0.3002859972253828,-0.3282620496123028,0.7025359972253828,0.5314520496123029,0.3733641956518528
UCF,Combined,0.656,0.403162,0.20281,-0.3002859972253828,-0.3282620496123028,0.7034479972253829,0.5310720496123028,0.37358156968215356
UCF,Combined,0.657,0.403162,0.202051,-0.3002859972253828,-0.3282620496123028,0.7034479972253829,0.5303130496123029,0.37304765265225953
UCF,Combined,0.658,0.404378,0.201671,-0.3002859972253828,-0.3282620496123028,0.7046639972253828,0.5299330496123028,0.37342474100164236
UCF,Combined,0.659,0.405898,0.200912,-0.3002859972253828,-0.3282620496123028,0.7061839972253827,0.5291740496123029,0.373694245583159
UCF,Combined,0.66,0.406507,0.200152,-0.3002859972253828,-0.3282620496123028,0.7067929972253828,0.5284140496123029,0.3734793499014817
UCF,Combined,0.661,0.408027,0.199013,-0.3002859972253828,-0.3282620496123028,0.7083129972253828,0.5272750496123029,0.37347577075305266
UCF,Combined,0.662,0.409547,0.198633,-0.3002859972253828,-0.3282620496123028,0.7098329972253827,0.5268950496123028,0.37400749228951763
UCF,Combined,0.663,0.411067,0.197873,-0.3002859972253828,-0.3282620496123028,0.7113529972253828,0.5261350496123028,0.3742677444870371
UCF,Combined,0.664,0.411979,0.197493,-0.3002859972253828,-0.3282620496123028,0.7122649972253827,0.5257550496123028,0.3744769189533378
UCF,Combined,0.665,0.413196,0.196734,-0.3002859972253828,-0.3282620496123028,0.7134819972253827,0.5249960496123028,0.37457523001282195
UCF,Combined,0.666,0.414716,0.196734,-0.3002859972253828,-0.3282620496123028,0.7150019972253827,0.5249960496123028,0.37537322400823264
UCF,Combined,0.667,0.415628,0.195215,-0.3002859972253828,-0.3282620496123028,0.7159139972253827,0.5234770496123028,0.37476454704369366
UCF,Combined,0.668,0.416236,0.195215,-0.3002859972253828,-0.3282620496123028,0.7165219972253828,0.5234770496123028,0.37508282108985797
UCF,Combined,0.669,0.417452,0.193695,-0.3002859972253828,-0.3282620496123028,0.7177379972253828,0.5219570496123028,0.37462840742640396
UCF,Combined,0.67,0.418668,0.192556,-0.3002859972253828,-0.3282620496123028,0.7189539972253828,0.5208180496123028,0.37444421859589283
UCF,Combined,0.671,0.420189,0.191417,-0.3002859972253828,-0.3282620496123028,0.7204749972253828,0.5196790496123028,0.37441576182751346
UCF,Combined,0.672,0.421405,0.191417,-0.3002859972253828,-0.3282620496123028,0.7216909972253828,0.5196790496123028,0.375047691551842
UCF,Combined,0.673,0.423229,0.190277,-0.3002859972253828,-0.3282620496123028,0.7235149972253828,0.5185390496123028,0.3751707790414979
UCF,Combined,0.674,0.424749,0.189518,-0.3002859972253828,-0.3282620496123028,0.7250349972253828,0.5177800496123028,0.37540865683401453
UCF,Combined,0.675,0.425965,0.188378,-0.3002859972253828,-0.3282620496123028,0.7262509972253828,0.5166400496123028,0.3752103512375061
UCF,Combined,0.676,0.428094,0.188378,-0.3002859972253828,-0.3282620496123028,0.7283799972253828,0.5166400496123028,0.37631027790313076
UCF,Combined,0.677,0.428094,0.186859,-0.3002859972253828,-0.3282620496123028,0.7283799972253828,0.5151210496123029,0.37520386868734545
UCF,Combined,0.678,0.429006,0.186479,-0.3002859972253828,-0.3282620496123028,0.7292919972253828,0.5147410496123028,0.3753965281256462
UCF,Combined,0.679,0.429918,0.18534,-0.3002859972253828,-0.3282620496123028,0.7302039972253829,0.5136020496123028,0.37503426961005293
UCF,Combined,0.68,0.431134,0.18496,-0.3002859972253828,-0.3282620496123028,0.7314199972253828,0.5132220496123028,0.37538087010343574
UCF,Combined,0.681,0.432958,0.18458,-0.3002859972253828,-0.3282620496123028,0.7332439972253828,0.5128420496123028,0.376038354402983
UCF,Combined,0.682,0.43387,0.183441,-0.3002859972253828,-0.3282620496123028,0.7341559972253828,0.5117030496123028,0.37566986267138974
UCF,Combined,0.683,0.434783,0.183061,-0.3002859972253828,-0.3282620496123028,0.7350689972253828,0.5113230496123028,0.37585772133674006
UCF,Combined,0.684,0.435391,0.182302,-0.3002859972253828,-0.3282620496123028,0.7356769972253827,0.5105640496123028,0.3756102269100103
UCF,Combined,0.685,0.437215,0.181542,-0.3002859972253828,-0.3282620496123028,0.7375009972253828,0.5098040496123029,0.37598099497861187
UCF,Combined,0.686,0.437519,0.180782,-0.3002859972253828,-0.3282620496123028,0.7378049972253828,0.5090440496123028,0.37557524361180267
UCF,Combined,0.687,0.438431,0.180023,-0.3002859972253828,-0.3282620496123028,0.7387169972253829,0.5082850496123028,0.3754788055841551
UCF,Combined,0.688,0.438735,0.179263,-0.3002859972253828,-0.3282620496123028,0.7390209972253827,0.5075250496123028,0.37507166828134586
UCF,Combined,0.689,0.439647,0.178504,-0.3002859972253828,-0.3282620496123028,0.7399329972253827,0.5067660496123028,0.3749729219816982
UCF,Combined,0.69,0.440559,0.178124,-0.3002859972253828,-0.3282620496123028,0.7408449972253828,0.5063860496123028,0.375153571519999
